(123.06708097457886, -160.5103462934494, 741.2160634994507):(0.66, 1.0, 1.0)
(120.99127471446991, -165.05463421344757, 716.8958783149719):(0.66, 1.0, 1.0)
(165.62870144844055, -158.69636833667755, 714.771032333374):(0.66, 1.0, 1.0)
(168.4863567352295, -153.29456329345703, 735.794186592102):(0.66, 1.0, 1.0)
(121.23094499111176, -160.11402010917664, 730.1572561264038):(0.66, 1.0, 1.0)
(124.9157041311264, -165.0547832250595, 716.8964743614197):(0.66, 1.0, 1.0)
(163.54800760746002, -158.57580304145813, 714.2279744148254):(0.66, 1.0, 1.0)
(160.4914665222168, -153.44104170799255, 726.9470691680908):(0.66, 1.0, 1.0)
(120.37411332130432, -160.96670925617218, 724.9966859817505):(0.66, 1.0, 1.0)
(130.97885251045227, -165.27767479419708, 717.8646326065063):(0.66, 1.0, 1.0)
(163.73412311077118, -156.79918229579926, 715.0408029556274):(0.66, 1.0, 1.0)
(155.35517036914825, -154.26795184612274, 730.8646440505981):(0.66, 1.0, 1.0)
(134.61892306804657, -162.96233236789703, 716.3237929344177):(0.66, 1.0, 1.0)
(152.06776559352875, -154.99506890773773, 734.3094944953918):(0.66, 1.0, 1.0)
(119.48100477457047, -161.74204647541046, 719.6176052093506):(0.66, 1.0, 1.0)
(140.3876394033432, -162.8311723470688, 715.7472968101501):(0.66, 1.0, 1.0)
(164.00547325611115, -155.09870648384094, 716.225802898407):(0.66, 1.0, 1.0)
(145.55947482585907, -156.49013221263885, 731.9019436836243):(0.66, 1.0, 1.0)
(143.87021958827972, -162.33980655670166, 713.5874032974243):(0.66, 1.0, 1.0)
(143.06895434856415, -158.1660509109497, 739.7401928901672):(0.66, 1.0, 1.0)
(118.90443414449692, -162.92165219783783, 716.1449790000916):(0.66, 1.0, 1.0)
(150.31085908412933, -161.00937128067017, 716.3578271865845):(0.66, 1.0, 1.0)
(165.33349454402924, -154.37838435173035, 722.0253348350525):(0.66, 1.0, 1.0)
(138.06262612342834, -159.39882397651672, 745.5058097839355):(0.66, 1.0, 1.0)
(153.93725037574768, -160.7014238834381, 714.9876952171326):(0.66, 1.0, 1.0)
(132.3375701904297, -159.4582349061966, 736.3575100898743):(0.66, 1.0, 1.0)
(118.84486675262451, -164.79915380477905, 715.7862186431885):(0.66, 1.0, 1.0)
(159.8016619682312, -160.69497168064117, 714.9589657783508):(0.66, 1.0, 1.0)
(166.54281318187714, -153.51691842079163, 727.3065447807312):(0.66, 1.0, 1.0)
(126.94443762302399, -160.2829396724701, 740.1659488677979):(0.66, 1.0, 1.0)
(141.6255682706833, -158.33811461925507, 722.0587134361267):(0.66, 1.0, 1.0)
(133.0416202545166, -159.50065851211548, 718.3935046195984):(0.66, 1.0, 1.0)
(142.2969400882721, -160.81595420837402, 715.4972553253174):(0.66, 1.0, 1.0)
(126.76392495632172, -162.94613480567932, 716.2526249885559):(0.66, 1.0, 1.0)
(161.85668110847473, -162.75052726268768, 715.3928279876709):(0.66, 1.0, 1.0)
(132.03853368759155, -157.8739583492279, 757.7746510505676):(0.66, 1.0, 1.0)
(126.71266496181488, -164.83986377716064, 715.9630060195923):(0.66, 1.0, 1.0)
(156.571164727211, -155.4611474275589, 746.1934685707092):(0.66, 1.0, 1.0)
(138.63949477672577, -165.0412231683731, 716.8375849723816):(0.66, 1.0, 1.0)
(166.08040034770966, -161.09085083007812, 716.7203426361084):(0.66, 1.0, 1.0)
(146.1324542760849, -156.95717930793762, 724.8079776763916):(0.66, 1.0, 1.0)
(142.05007255077362, -162.49188780784607, 714.2559289932251):(0.66, 1.0, 1.0)
(145.13646066188812, -157.85770118236542, 719.8678851127625):(0.66, 1.0, 1.0)
(133.53994488716125, -159.26505625247955, 754.5390725135803):(0.66, 1.0, 1.0)
(140.67022502422333, -159.2330038547516, 717.1880006790161):(0.66, 1.0, 1.0)
(133.87444615364075, -158.52053463459015, 722.8905558586121):(0.66, 1.0, 1.0)
(147.568479180336, -156.74540400505066, 752.3577809333801):(0.66, 1.0, 1.0)
(-130.72381913661957, -193.1745707988739, 766.1662697792053):(0.0, 1.0, 1.0)
(-123.33626300096512, -195.282980799675, 734.6531748771667):(0.0, 1.0, 1.0)
(-78.85733991861343, -190.6762272119522, 732.4053049087524):(0.0, 1.0, 1.0)
(-84.12991464138031, -185.86842715740204, 762.0047330856323):(0.0, 1.0, 1.0)
(-129.30527329444885, -193.15262138843536, 757.8522562980652):(0.0, 1.0, 1.0)
(-119.13329362869263, -194.986030459404, 733.5360646247864):(0.0, 1.0, 1.0)
(-80.87284862995148, -190.7019019126892, 732.5039505958557):(0.0, 1.0, 1.0)
(-89.5920917391777, -186.30151450634003, 755.3049325942993):(0.0, 1.0, 1.0)
(-128.37481498718262, -193.82205605506897, 752.3988485336304):(0.0, 1.0, 1.0)
(-115.00720679759979, -194.7985738515854, 732.8308820724487):(0.0, 1.0, 1.0)
(-80.86369186639786, -188.675656914711, 732.4210405349731):(0.0, 1.0, 1.0)
(-94.18193995952606, -187.2064471244812, 758.9737176895142):(0.0, 1.0, 1.0)
(-109.14412140846252, -195.07427513599396, 733.8680624961853):(0.0, 1.0, 1.0)
(-81.08897507190704, -187.19105422496796, 734.4614863395691):(0.0, 1.0, 1.0)
(-100.63523054122925, -187.61900067329407, 760.6463432312012):(0.0, 1.0, 1.0)
(-127.44073569774628, -194.45613026618958, 746.9242811203003):(0.0, 1.0, 1.0)
(-105.25507479906082, -195.31215727329254, 734.762966632843):(0.0, 1.0, 1.0)
(-103.81701588630676, -187.92328238487244, 753.5185217857361):(0.0, 1.0, 1.0)
(-99.12847727537155, -193.11915338039398, 734.0713739395142):(0.0, 1.0, 1.0)
(-81.73690736293793, -186.66048347949982, 740.330159664154):(0.0, 1.0, 1.0)
(-110.7938215136528, -189.2721801996231, 758.9272260665894):(0.0, 1.0, 1.0)
(-127.09522247314453, -195.96774876117706, 744.8992729187012):(0.0, 1.0, 1.0)
(-95.11204808950424, -193.12304258346558, 734.0861558914185):(0.0, 1.0, 1.0)
(-82.37522095441818, -186.07604503631592, 746.1116313934326):(0.0, 1.0, 1.0)
(-115.3351441025734, -189.90924954414368, 761.4817023277283):(0.0, 1.0, 1.0)
(-89.07962590456009, -193.11268627643585, 734.0468168258667):(0.0, 1.0, 1.0)
(-120.7035779953003, -190.5973106622696, 755.9443712234497):(0.0, 1.0, 1.0)
(-126.75461173057556, -197.47591018676758, 742.9029941558838):(0.0, 1.0, 1.0)
(-85.00663191080093, -192.9883360862732, 733.5741519927979):(0.0, 1.0, 1.0)
(-83.3112969994545, -186.12520396709442, 754.5901536941528):(0.0, 1.0, 1.0)
(-124.96716529130936, -190.78892469406128, 756.7043304443359):(0.0, 1.0, 1.0)
(-88.8047069311142, -190.51380455493927, 731.7814230918884):(0.0, 1.0, 1.0)
(-117.50742793083191, -190.05171954631805, 762.0529532432556):(0.0, 1.0, 1.0)
(-121.67958170175552, -190.95106422901154, 749.214231967926):(0.0, 1.0, 1.0)
(-107.45919495820999, -189.13622200489044, 750.1494288444519):(0.0, 1.0, 1.0)
(-97.28236496448517, -187.0967596769333, 767.040491104126):(0.0, 1.0, 1.0)
(-97.90883213281631, -188.61258029937744, 740.0389909744263):(0.0, 1.0, 1.0)
(-99.44627434015274, -187.45967745780945, 751.659631729126):(0.0, 1.0, 1.0)
(-111.31273210048676, -193.34354996681213, 734.9243760108948):(0.0, 1.0, 1.0)
(-109.76247489452362, -189.5681619644165, 751.8625855445862):(0.0, 1.0, 1.0)
(-85.88054031133652, -186.85851991176605, 741.1156296730042):(0.0, 1.0, 1.0)
(-131.56887888908386, -192.31276214122772, 771.1191177368164):(0.0, 1.0, 1.0)
(-96.67359292507172, -188.12492489814758, 746.1383938789368):(0.0, 1.0, 1.0)
(-90.85645526647568, -190.61626493930817, 732.1749925613403):(0.0, 1.0, 1.0)
(-113.1424829363823, -190.3880089521408, 747.005045413971):(0.0, 1.0, 1.0)
(-97.53981232643127, -189.91956114768982, 737.2497320175171):(0.0, 1.0, 1.0)
